ID,created,name,group
319,2023-10-06 15:43:00,O Dia a Dia de um QA: A Prática de Testes Manuais Funcionais,QA
320,2023-10-06 15:55:00,Fundamentos de Automação de Testes,QA
321,2023-10-06 16:07:00,Introdução à Qualidade de Software,QA
322,2024-11-14 17:05:00,Desenvolvendo Testes Utilizando Mockito,QA
323,2022-04-17 13:43:00,Primeiros passos para desenvolvimento web,Web
324,2022-04-17 14:07:00,Introdução a Criação de Websites com HTML5 e CSS3,Web
325,2022-04-22 16:11:00,Construindo páginas para internet com Bootstrap,Web
326,2022-04-30 00:04:00,Introdução ao ReactJS,Web
327,2022-04-30 22:09:00,Desenvolvimento de aplicações para internet com ReactJS,Web
328,2022-04-30 23:52:00,Trabalhando com Componentes em React,Web
329,2022-05-04 05:20:00,Introdução a Redux com ReactJS,Web
330,2022-05-06 00:14:00,Trabalhando com States & Effects no ReactJs,Web
331,2022-05-09 11:09:00,Desenvolvendo uma Progressive Web Application com React para Mapear os Dados do COVID19 Pelo Mundo,Web
332,2022-06-07 16:28:00,Introdução aos React Hooks,Web
333,2022-06-17 01:53:00,Práticas avançadas em projetos com ReactJS,Web
334,2022-06-20 04:02:00,Criando um Front-end Totalmente Componentizado na Prática com ReactJS,Web
335,2022-06-20 15:46:00,Módulo II - HTML/CSS3,Web
